Id,Number,State,Created At,Closed At,Merged At,Created-Closed Time Difference(Days),Username,Merged By
32801832,78,closed,2015-04-07T20:24:46Z,2015-04-07T20:24:52Z,2015-04-07T20:24:52Z,0.1,user1,user1
32798022,77,closed,2015-04-07T19:40:43Z,2015-04-07T19:40:51Z,2015-04-07T19:40:51Z,0.133333333333,user1,user1
32784100,76,closed,2015-04-07T17:01:56Z,2015-04-07T17:01:59Z,2015-04-07T17:01:59Z,0.05,user2,user2
32725147,75,closed,2015-04-07T00:52:41Z,2015-04-07T00:53:00Z,2015-04-07T00:52:59Z,0.316666666667,user1,user1
32724573,73,closed,2015-04-07T00:39:23Z,2015-04-07T00:40:03Z,2015-04-07T00:40:03Z,0.666666666667,user2,user2
32715663,70,closed,2015-04-06T21:58:38Z,2015-04-06T21:58:58Z,2015-04-06T21:58:58Z,0.333333333333,user1,user1
32661547,69,closed,2015-04-06T04:38:16Z,2015-04-06T04:38:21Z,2015-04-06T04:38:21Z,0.0833333333333,user2,user2
32656829,68,closed,2015-04-06T00:14:18Z,2015-04-06T00:14:25Z,2015-04-06T00:14:25Z,0.116666666667,user2,user2
32379219,67,closed,2015-04-01T00:23:18Z,2015-04-01T00:23:29Z,2015-04-01T00:23:29Z,0.183333333333,user2,user2
32277318,66,closed,2015-03-30T23:18:59Z,2015-03-31T02:40:47Z,2015-03-31T02:40:47Z,201.8,user3,user3
32277103,65,closed,2015-03-30T23:15:15Z,2015-03-30T23:15:20Z,2015-03-30T23:15:20Z,0.0833333333333,user3,user3
32170147,64,closed,2015-03-28T19:55:21Z,2015-03-28T19:55:26Z,2015-03-28T19:55:26Z,0.0833333333333,user3,user3
31961419,63,closed,2015-03-25T20:15:56Z,2015-03-25T20:16:03Z,2015-03-25T20:16:03Z,0.116666666667,user3,user3
31840773,59,closed,2015-03-24T15:59:26Z,2015-03-24T16:00:02Z,2015-03-24T16:00:02Z,0.6,user2,user2
31787110,56,closed,2015-03-24T00:18:37Z,2015-03-24T00:18:46Z,2015-03-24T00:18:46Z,0.15,user3,user3
31699497,55,closed,2015-03-23T01:18:45Z,2015-03-23T01:25:24Z,2015-03-23T01:25:24Z,6.65,user1,user1
31671739,54,closed,2015-03-21T14:08:57Z,2015-03-21T14:09:35Z,2015-03-21T14:09:35Z,0.633333333333,user3,user3
31308200,49,closed,2015-03-17T05:24:08Z,2015-03-17T05:24:19Z,2015-03-17T05:24:19Z,0.183333333333,user2,user2
30710136,46,closed,2015-03-07T21:58:50Z,2015-03-07T21:58:54Z,2015-03-07T21:58:54Z,0.0666666666667,user3,user3
30707132,45,closed,2015-03-07T18:40:27Z,2015-03-07T18:40:33Z,2015-03-07T18:40:33Z,0.1,user1,user1
30705038,44,closed,2015-03-07T16:26:15Z,2015-03-07T16:26:19Z,2015-03-07T16:26:19Z,0.0666666666667,user3,user3
30426670,42,closed,2015-03-04T00:13:45Z,2015-03-04T00:13:50Z,2015-03-04T00:13:50Z,0.0833333333333,user3,user3
30347633,40,closed,2015-03-03T05:27:41Z,2015-03-03T05:27:47Z,2015-03-03T05:27:47Z,0.1,user3,user3
30234928,39,closed,2015-03-01T01:42:02Z,2015-03-01T01:42:07Z,2015-03-01T01:42:07Z,0.0833333333333,user2,user2
30200655,38,closed,2015-02-27T21:02:36Z,2015-03-01T00:24:53Z,2015-03-01T00:24:53Z,1642.28333333,user1,user3
30049601,37,closed,2015-02-26T04:14:25Z,2015-02-26T04:14:34Z,2015-02-26T04:14:34Z,0.15,user3,user3
30039096,34,closed,2015-02-26T00:12:01Z,2015-02-26T00:12:12Z,2015-02-26T00:12:12Z,0.183333333333,user3,user3
29958482,29,closed,2015-02-25T03:26:49Z,2015-02-25T03:26:57Z,2015-02-25T03:26:57Z,0.133333333333,user3,user3
29956566,28,closed,2015-02-25T02:32:49Z,2015-02-25T02:32:55Z,2015-02-25T02:32:55Z,0.1,user2,user2
29955106,27,closed,2015-02-25T01:57:55Z,2015-02-25T01:58:23Z,2015-02-25T01:58:23Z,0.466666666667,user2,user2
29950870,25,closed,2015-02-25T00:34:44Z,2015-02-25T00:34:54Z,2015-02-25T00:34:54Z,0.166666666667,user2,user2
29877502,24,closed,2015-02-24T08:03:29Z,2015-02-24T08:03:42Z,2015-02-24T08:03:42Z,0.216666666667,user1,user1
29787209,23,closed,2015-02-23T05:35:16Z,2015-02-23T05:35:31Z,2015-02-23T05:35:31Z,0.25,user2,user2
29783102,22,closed,2015-02-23T02:37:10Z,2015-02-23T02:37:21Z,2015-02-23T02:37:21Z,0.183333333333,user3,user3
29781736,21,closed,2015-02-23T01:32:36Z,2015-02-23T01:32:45Z,2015-02-23T01:32:45Z,0.15,user1,user1
29781260,20,closed,2015-02-23T01:10:30Z,2015-02-23T01:11:30Z,2015-02-23T01:11:30Z,1.0,user1,user1
29778781,19,closed,2015-02-22T22:56:18Z,2015-02-22T22:56:44Z,2015-02-22T22:56:44Z,0.433333333333,user3,user3
