Issue,Timestamp,Action,Label,User,Milestone
1,1423609543,labeled,question,user2,None
2,1423609700,labeled,Summarize,user2,None
3,1424099181,labeled,Step 4: Reviewed References,user2,None
3,1424099180,labeled,Step 3: Adds Dimension,user2,None
3,1424099180,labeled,Step 2: Summarize,user2,None
3,1424099179,labeled,Step 1: Relevant Paper,user2,None
8,1424103711,labeled,Key article,user1,Project 1A: Preliminary Report
8,1424099416,labeled,Step 4: Reviewed References,user1,Project 1A: Preliminary Report
9,1424103685,labeled,Key article,user1,Add ALL resources to Paper Comparison RepGrid
9,1424100101,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
10,1424101991,labeled,Literature Review,user2,None
11,1427200819,labeled,Step 4: Dimension added to grid,user1,Add Info of Relevant Papers
11,1427200718,unlabeled,Paywall,user1,Add Info of Relevant Papers
11,1426877027,labeled,Paywall,user1,Add Info of Relevant Papers
11,1424699995,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
11,1424698254,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
11,1424102892,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
12,1427124724,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
12,1427124724,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
12,1424102930,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
13,1427215986,labeled,Dead End,user1,Add Info of Relevant Papers
13,1427200718,unlabeled,Paywall,user1,Add Info of Relevant Papers
13,1426876978,labeled,Paywall,user1,Add Info of Relevant Papers
13,1424699982,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
13,1424698387,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
13,1424102954,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
14,1426789149,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
14,1426783580,unlabeled,If time,user1,Add ALL resources to Paper Comparison RepGrid
14,1426783580,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
14,1426783568,labeled,If time,user1,Add ALL resources to Paper Comparison RepGrid
14,1426781394,labeled,Paywall,user1,Add ALL resources to Paper Comparison RepGrid
14,1424144908,labeled,Key article,user2,Add ALL resources to Paper Comparison RepGrid
14,1424103036,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
14,1424103033,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
14,1424103007,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
15,1427125015,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
15,1427125015,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
15,1424102999,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
16,1427125228,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
16,1427125228,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
16,1424103075,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
17,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
17,1425316623,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
17,1424698163,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
17,1424698163,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
17,1424103098,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
18,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
18,1425316503,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
18,1424699967,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
18,1424698909,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
18,1424103115,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
19,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
19,1425316345,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
19,1424700333,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
19,1424700333,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
19,1424103132,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
20,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
20,1425316297,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
20,1424700180,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
20,1424700180,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
20,1424103153,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
21,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
21,1425316141,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
21,1424699945,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
21,1424699945,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
21,1424103172,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
22,1427125441,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
22,1427125441,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
22,1424103197,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
23,1427125587,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
23,1427125587,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
23,1424103224,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
24,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
24,1425316011,labeled,Dimension added to grid,user1,Add Info of Relevant Papers
24,1424699421,unlabeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
24,1424699421,labeled,Step 3: Adds Dimension,user1,Add Info of Relevant Papers
24,1424103242,labeled,Step 1: Relevant Paper,user1,Add Info of Relevant Papers
25,1427125835,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
25,1427125835,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
25,1424103263,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
26,1427124850,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
26,1427124850,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
26,1424103361,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
27,1427217912,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
27,1426793739,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
27,1426793739,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
